poin Momota;poin Axelsen;Nama;rally;type;Banyak pukulan
0;1;Momota;1;Lob(M);1
;;Momota;2;Dropshot(M);1
;;Axelsen;2;Drive(A);2
;;Momota;2;Lob(M);3
;;Axelsen;2;Dropshot(A);4
;;Momota;2;Netting(M);5
;;Axelsen;2;Lob(A);6
;;Momota;2;Lob(M);7
;;Axelsen;2;Lob(A);8
;;Momota;2;Lob(M);9
;;Axelsen;2;Lob(A);10
;;Momota;2;Lob(M);11
;;Axelsen;2;Smash(A);12
;;Momota;2;Drive(M);13
;;Axelsen;2;Lob(A);14
;;Momota;2;Dropshot(M);15
;;Axelsen;2;Netting(A);16
;;Momota;2;Lob(M);17
;;Axelsen;2;Dropshot(A);18
;;Momota;2;Netting(M);19
;;Axelsen;2;Lob(A);20
;;Momota;2;Lob(M);21
;;Axelsen;2;Lob(A);22
;;Momota;2;Smash(M);23
;;Axelsen;2;Netting(A);24
;;Momota;2;Lob(M);25
;;Axelsen;2;Dropshot(A);26
;;Momota;2;Netting(M);27
;;Axelsen;2;Lob(A);28
;;Momota;2;Dropshot(M);29
;;Axelsen;2;Netting(A);30
;;Momota;2;Lob(M);31
;;Axelsen;2;Lob(A);32
1;1;Momota;2;Lob(M);33
;;Axelsen;3;Lob(A);1
;;Momota;3;Smash(M);2
1;2;Axelsen;3;Netting(A);3
;;Momota;4;Lob(M);1
1;3;Axelsen;4;Dropshot(A);2
;;Momota;5;Lob(M);1
;;Axelsen;5;Dropshot(A);2
;;Momota;5;Drive(M);3
;;Axelsen;5;Lob(A);4
;;Momota;5;Smash(M);5
;;Axelsen;5;Drive(A);6
;;Momota;5;Lob(M);7
;;Axelsen;5;Lob(A);8
;;Momota;5;Smash(M);9
;;Axelsen;5;Drive(A);10
;;Momota;5;Lob(M);11
;;Axelsen;5;Drive(A);12
;;Momota;5;Smash(M);13
;;Axelsen;5;Lob(A);14
;;Momota;5;Dropshot(M);15
;;Axelsen;5;Netting(A);16
;;Momota;5;Netting(M);17
;;Axelsen;5;Lob(A);18
;;Momota;5;Smash(M);19
;;Axelsen;5;Netting(A);20
;;Momota;5;Lob(M);21
