poin A;poin B;Nama;rally;type;Banyak pukulan
;;Momota;1;Lob(M);1
;;Axelsen;1;Dropshot(A);2
;;Momota;1;Netting(M);3
;;Axelsen;1;Netting(A);4
;;Momota;1;Lob(M);5
;;Axelsen;1;Dropshot(A);6
;;Momota;1;Drive(M);7
;;Axelsen;1;Drive(A);8
;;Momota;1;Drive(M);9
;;Axelsen;1;Lob(A);10
;;Momota;1;Dropshot(M);11
;;Axelsen;1;Drive(A);12
;;Momota;1;Lob(M);13
0;1;Axelsen;1;Smash(A);14
;;Momota;2;Smash(M);1
;2;Axelsen;2;Lob(A);2
;;Momota;3;Dropshot(M);1
;;Axelsen;3;Drive(A);2
;;Momota;3;Netting(M);3
;;Axelsen;3;Lob(A);4
;;Momota;3;Dropshot(M);5
;;Axelsen;3;Drive(A);6
;;Momota;3;Lob(M);7
;;Axelsen;3;Lob(A);8
;;Momota;3;Dropshot(M);9
;;Axelsen;3;Netting(A);10
;;Momota;3;Lob(M);11
;;Axelsen;3;Dropshot(A);12
;;Momota;3;Netting(M);13
;;Axelsen;3;Lob(A);14
;;Momota;3;Lob(M);15
;;Axelsen;3;Smash(A);16
;;Momota;3;Drive(M);17
;;Axelsen;3;Lob(A);18
;;Momota;3;Dropshot(M);19
;;Axelsen;3;Lob(A);20
;;Momota;3;Dropshot(M);21
;;Axelsen;3;Netting(A);22
;;Momota;3;Lob(M);23
;;Axelsen;3;Lob(A);24
;;Momota;3;Dropshot(M);25
;;Axelsen;3;Lob(A);26
;;Momota;3;Dropshot(M);27
;;Axelsen;3;Lob(A);28
;;Momota;3;Lob(M);29
;;Axelsen;3;Smash(A);30
;;Momota;3;Netting(M);31
;;Axelsen;3;Lob(A);32
;;Momota;3;Lob(M);33
;;Axelsen;3;Smash(A);34
;;Momota;3;Netting(M);35
0;3;Axelsen;3;Lob(A);36
;;Momota;4;Netting(M);12
;;Axelsen;4;Lob(A);2
;;Momota;4;Dropshot(M);3
;;Axelsen;4;Netting(A);4
;;Momota;4;Netting(M);5
;;Axelsen;4;Lob(A);6
;;Momota;4;Smash(M);7
;;Axelsen;4;Netting(A);8
1;3;Momota;4;Netting(M);9
;;Axelsen;5;Lob(A);1
;;Momota;5;Drive(M);2
;;Axelsen;5;Drive(A);3
;;Momota;5;Netting(M);4
;;Axelsen;5;Lob(A);5
;;Momota;5;Smash(M);6
;;Axelsen;5;Drive(A);7
;;Momota;5;Netting(M);8
;;Axelsen;5;Lob(A);9
;;Momota;5;Dropshot(M);10
1;4;Axelsen;5;Lob(A);11
;;Momota;6;Lob(M);1
1;5;Axelsen;6;Smash(A);2
;;Momota;7;Lob(M);1
;;Axelsen;7;Lob(A);2
;;Momota;7;Lob(M);3
;;Axelsen;7;Smash(A);4
;;Momota;7;Netting(M);5
;;Axelsen;7;Lob(A);6
;;Momota;7;Smash(M);7
1;6;Axelsen;7;Netting(A);8
;;Momota;8;Smash(M);1
;;Axelsen;8;Netting(A);2
;;Momota;8;Netting(M);3
;;Axelsen;8;Lob(A);4
;;Momota;8;Dropshot(M);5
;;Axelsen;8;Lob(A);6
;;Momota;8;Dropshot(M);7
;;Axelsen;8;Drive(A);8
;;Momota;8;Lob(M);9
1;7;Axelsen;8;Smash(A);10
;;Momota;9;Lob(M);1
;;Axelsen;9;Dropshot(A);2
;;Momota;9;Netting(M);3
;;Axelsen;9;Lob(A);4
;;Momota;9;Dropshot(M);5
1;8;Axelsen;9;Netting(A);6
;;Momota;10;Smash(M);1
;;Axelsen;10;Drive(A);2
;;Momota;10;Netting(M);3
;;Axelsen;10;Lob(A);4
;;Momota;10;Smash(M);5
;;Axelsen;10;Drive(A);6
;;Momota;10;Dropshot(M);7
;;Axelsen;10;Lob(A);8
;;Momota;10;Dropshot(M);9
;;Axelsen;10;Netting(A);10
;;Momota;10;Lob(M);11
;;Axelsen;10;Lob(A);12
;;Momota;10;Drive(M);13
;;Axelsen;10;Lob(A);14
;;Momota;10;Lob(M);15
;;Axelsen;10;Lob(A);16
;;Momota;10;Dropshot(M);17
1;9;Axelsen;10;Netting(A);18
;;Momota;11;Smash(M);1
;;Axelsen;11;Netting(A);2
;;Momota;11;Netting(M);3
;;Axelsen;11;Lob(A);4
;;Momota;11;Dropshot(M);5
;;Axelsen;11;Lob(A);6
;;Momota;11;Smash(M);7
;;Axelsen;11;Netting(A);8
;;Momota;11;Lob(M);9
;;Axelsen;11;Smash(A);10
;;Momota;11;Netting(M);11
;;Axelsen;11;Netting(A);12
;;Momota;11;Netting(M);13
;;Axelsen;11;Lob(A);14
;;Momota;11;Dropshot(M);15
;;Axelsen;11;Netting(A);16
;;Momota;11;Lob(M);17
;;Axelsen;11;Drive(A);18
;;Momota;11;Netting(M);19
;;Axelsen;11;Lob(A);20
2;9;Momota;11;Lob(M);21
;;Axelsen;12;Lob(A);1
;;Momota;12;Dropshot(M);2
